Question;SQL;SQL_SQLITE
Qual é o vendedor com mais clientes?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 DESC LIMIT 1;"
Quem tem mais clientes?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 DESC LIMIT 1;"
Quem é o vendedor com uma clientela maior?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 DESC LIMIT 1;"
Qual o nome do vendedor com mais clientes?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 DESC LIMIT 1;"
Quem tem a maior quantidade de clientes?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 DESC LIMIT 1;"
Qual é o vendedor com menos clientes?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 LIMIT 1 ;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 LIMIT 1 ;"
Quem tem menos clientes?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 LIMIT 1 ;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 LIMIT 1 ;"
Quem é o vendedor com uma clientela menor?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 LIMIT 1 ;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 LIMIT 1 ;"
Qual o nome do vendedor com menos clientes?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 LIMIT 1 ;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 LIMIT 1 ;"
Quem tem a menor quantidade de clientes?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 LIMIT 1 ;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, COUNT(CU.FirstName) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2 LIMIT 1 ;"
